benchmark,run,result
bbs,baseline,137
bbs,lvn,137
binary-fmt,baseline,100
binary-fmt,lvn,100
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
relative-primes,baseline,1923
relative-primes,lvn,1207
digital-root,baseline,247
digital-root,lvn,247
bitshift,baseline,167
bitshift,lvn,104
sqrt_bin_search,baseline,744
sqrt_bin_search,lvn,313
sum-bits,baseline,73
sum-bits,lvn,73
sum-check,baseline,5018
sum-check,lvn,5018
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,1720
mod_pow,baseline,243
mod_pow,lvn,145
up-arrow,baseline,252
up-arrow,lvn,252
hamming,baseline,117
hamming,lvn,117
recfact,baseline,104
recfact,lvn,64
palindrome,baseline,298
palindrome,lvn,298
catalan,baseline,659378
catalan,lvn,659378
lcm,baseline,2326
lcm,lvn,2326
fizz-buzz,baseline,3652
fizz-buzz,lvn,2198
gebmm,baseline,3011
gebmm,lvn,3011
primes-between,baseline,574100
primes-between,lvn,574100
perfect,baseline,232
perfect,lvn,232
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61518
geometric-sum,baseline,35
geometric-sum,lvn,35
armstrong,baseline,133
armstrong,lvn,130
permutation,baseline,130
permutation,lvn,87
sum-divisors,baseline,159
sum-divisors,lvn,159
montgomery,baseline,17
montgomery,lvn,17
sum-of-cubes,baseline,8
sum-of-cubes,lvn,7
factors,baseline,72
factors,lvn,72
loopfact,baseline,116
loopfact,lvn,79
combination,baseline,178
combination,lvn,178
pascals-row,baseline,146
pascals-row,lvn,69
reverse,baseline,46
reverse,lvn,incorrect
mod_inv,baseline,558
mod_inv,lvn,305
orders,baseline,5352
orders,lvn,5352
delannoy,baseline,5748752
delannoy,lvn,4311562
sum-digits,baseline,219
sum-digits,lvn,126
binpow,baseline,105
binpow,lvn,105
ackermann,baseline,1464231
ackermann,lvn,1464231
gcd,baseline,46
gcd,lvn,46
bitwise-ops,baseline,1690
bitwise-ops,lvn,1689
fitsinside,baseline,10
fitsinside,lvn,10
check-primes,baseline,8468
check-primes,lvn,4287
collatz,baseline,169
collatz,lvn,169
quadratic,baseline,785
quadratic,lvn,502
mccarthy91,baseline,1385
mccarthy91,lvn,1385
totient,baseline,253
totient,lvn,253
is-decreasing,baseline,127
is-decreasing,lvn,126
fact,baseline,229
fact,lvn,167
fib_recursive,baseline,2693
fib_recursive,lvn,2020
euclid,baseline,563
euclid,lvn,272
rot13,baseline,8
rot13,lvn,8
karatsuba,baseline,1548
karatsuba,lvn,1414
hanoi,baseline,99
hanoi,lvn,99
